./new-calib-3.9: New touch screen calibration program v3.9
Serial Number='131E1E00010B060102B1'
Entering calib_delay
 X= 537 X2= 536  Y= 528 Y2= 529 P1= 873 P2= 332 T1=  27 T2=  27  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 529 Y2= 528 P1= 874 P2= 333 T1=  27 T2=  26  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 529 P1= 874 P2= 331 T1=  27 T2=  27  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 529 P1= 872 P2= 331 T1=  27 T2=  27  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 535 X2= 538  Y= 528 Y2= 528 P1= 873 P2= 332 T1=  27 T2=  27  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 535 X2= 537  Y= 529 Y2= 528 P1= 873 P2= 331 T1=  28 T2=  26  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 529 Y2= 527 P1= 874 P2= 332 T1=  28 T2=  27  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 528 Y2= 528 P1= 874 P2= 332 T1=  27 T2=  27  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 534  Y= 528 Y2= 528 P1= 874 P2= 331 T1=  27 T2=  28  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 528 Y2= 529 P1= 873 P2= 331 T1=  26 T2=  27  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 529 Y2= 528 P1= 873 P2= 332 T1=  27 T2=  27  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 528 Y2= 529 P1= 872 P2= 334 T1=  26 T2=  27  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 528 Y2= 529 P1= 873 P2= 333 T1=  27 T2=  27  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 529 Y2= 528 P1= 873 P2= 333 T1=  27 T2=  26  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 535  Y= 529 Y2= 527 P1= 873 P2= 333 T1=  27 T2=  27  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 542 X2= 534  Y= 528 Y2= 528 P1= 874 P2= 334 T1=  28 T2=  27  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 546 X2= 546  Y= 542 Y2= 542 P1= 890 P2= 294 T1=  43 T2=  33  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 544 X2= 546  Y= 538 Y2= 539 P1= 891 P2= 295 T1=  39 T2=  34  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 546 X2= 545  Y= 540 Y2= 540 P1= 902 P2= 269 T1=  40 T2=  42  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 547 X2= 547  Y= 541 Y2= 541 P1= 892 P2= 290 T1=  40 T2=  36  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 546 X2= 547  Y= 540 Y2= 539 P1= 894 P2= 288 T1=  41 T2=  34  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 546 X2= 546  Y= 538 Y2= 539 P1= 890 P2= 294 T1=  40 T2=  34  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 549 X2= 546  Y= 540 Y2= 540 P1= 884 P2= 307 T1=  41 T2=  32  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 533 Y2= 533 P1= 883 P2= 309 T1=  32 T2=  32  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 543 X2= 543  Y= 534 Y2= 536 P1= 883 P2= 310 T1=  35 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 558 X2= 560  Y= 553 Y2= 552 P1= 903 P2= 268 T1=  56 T2=  42  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 561 X2= 559  Y= 554 Y2= 554 P1= 889 P2= 299 T1=  55 T2=  34  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 549 X2= 547  Y= 541 Y2= 541 P1= 890 P2= 296 T1=  43 T2=  35  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 534 Y2= 533 P1= 887 P2= 299 T1=  35 T2=  34  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 540 X2= 540  Y= 532 Y2= 531 P1= 881 P2= 315 T1=  32 T2=  31  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 532 P1= 881 P2= 313 T1=  31 T2=  32  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 881 P2= 313 T1=  31 T2=  31  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 532 Y2= 532 P1= 881 P2= 313 T1=  31 T2=  31  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 540 X2= 540  Y= 533 Y2= 534 P1= 885 P2= 305 T1=  35 T2=  34  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 535 Y2= 534 P1= 889 P2= 298 T1=  34 T2=  35  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 536 Y2= 535 P1= 887 P2= 302 T1=  35 T2=  35  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 534 Y2= 534 P1= 887 P2= 304 T1=  34 T2=  34  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 534 P1= 886 P2= 304 T1=  34 T2=  34  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 534 Y2= 534 P1= 886 P2= 304 T1=  34 T2=  35  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 534 P1= 886 P2= 305 T1=  34 T2=  33  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 534 P1= 885 P2= 304 T1=  35 T2=  35  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 534 P1= 885 P2= 304 T1=  35 T2=  35  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 534 P1= 885 P2= 307 T1=  34 T2=  34  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 534 Y2= 532 P1= 885 P2= 306 T1=  35 T2=  34  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 540 X2= 541  Y= 533 Y2= 534 P1= 885 P2= 307 T1=  33 T2=  34  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 534 P1= 884 P2= 305 T1=  34 T2=  34  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 534 P1= 885 P2= 306 T1=  34 T2=  34  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 542 X2= 541  Y= 534 Y2= 534 P1= 886 P2= 305 T1=  33 T2=  33  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 542 X2= 540  Y= 534 Y2= 534 P1= 885 P2= 307 T1=  34 T2=  32  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 534 P1= 885 P2= 306 T1=  33 T2=  34  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 542 X2= 541  Y= 534 Y2= 534 P1= 885 P2= 308 T1=  34 T2=  34  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 533 Y2= 534 P1= 885 P2= 308 T1=  34 T2=  35  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 534 P1= 884 P2= 309 T1=  35 T2=  34  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 540 X2= 541  Y= 534 Y2= 534 P1= 885 P2= 306 T1=  33 T2=  35  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 541 X2= 542  Y= 533 Y2= 534 P1= 884 P2= 307 T1=  33 T2=  35  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 543 X2= 541  Y= 534 Y2= 534 P1= 883 P2= 308 T1=  35 T2=  34  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 534 P1= 883 P2= 307 T1=  35 T2=  34  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 540 X2= 541  Y= 534 Y2= 534 P1= 884 P2= 309 T1=  34 T2=  34  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 540 X2= 542  Y= 534 Y2= 534 P1= 884 P2= 307 T1=  34 T2=  34  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 544 X2= 541  Y= 534 Y2= 535 P1= 885 P2= 308 T1=  35 T2=  34  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 541 X2= 541  Y= 534 Y2= 533 P1= 883 P2= 311 T1=  34 T2=  32  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 540 X2= 539  Y= 533 Y2= 533 P1= 882 P2= 315 T1=  32 T2=  32  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 546 X2= 545  Y= 538 Y2= 539 P1= 891 P2= 293 T1=  40 T2=  39  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 546 X2= 547  Y= 538 Y2= 539 P1= 888 P2= 299 T1=  39 T2=  36  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 543 X2= 543  Y= 535 Y2= 535 P1= 886 P2= 303 T1=  35 T2=  35  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 542 X2= 542  Y= 534 Y2= 533 P1= 886 P2= 303 T1=  34 T2=  35  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 542 X2= 543  Y= 534 Y2= 535 P1= 886 P2= 304 T1=  35 T2=  35  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 549 X2= 543  Y= 535 Y2= 534 P1= 886 P2= 304 T1=  35 T2=  35  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 543 X2= 542  Y= 536 Y2= 534 P1= 887 P2= 302 T1=  35 T2=  35  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 544 X2= 544  Y= 535 Y2= 536 P1= 886 P2= 303 T1=  36 T2=  35  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 542 X2= 543  Y= 535 Y2= 535 P1= 887 P2= 301 T1=  36 T2=  35  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 543 X2= 544  Y= 535 Y2= 535 P1= 887 P2= 303 T1=  34 T2=  36  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 544 X2= 543  Y= 535 Y2= 535 P1= 885 P2= 305 T1=  36 T2=  33  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 540 X2= 540  Y= 533 Y2= 532 P1= 885 P2= 306 T1=  33 T2=  34  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 539 X2= 541  Y= 532 Y2= 532 P1= 879 P2= 321 T1=  32 T2=  31  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 540  Y= 531 Y2= 530 P1= 876 P2= 323 T1=  30 T2=  31  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 530 Y2= 530 P1= 878 P2= 323 T1=  30 T2=  30  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 530 Y2= 531 P1= 877 P2= 323 T1=  30 T2=  30  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 529 Y2= 530 P1= 877 P2= 321 T1=  31 T2=  31  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 540 X2= 539  Y= 531 Y2= 531 P1= 877 P2= 324 T1=  30 T2=  29  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 530 Y2= 530 P1= 877 P2= 323 T1=  29 T2=  30  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 531 Y2= 530 P1= 877 P2= 325 T1=  30 T2=  29  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 539  Y= 531 Y2= 530 P1= 877 P2= 324 T1=  30 T2=  30  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 539 X2= 538  Y= 529 Y2= 530 P1= 877 P2= 325 T1=  30 T2=  29  P=  -1  D=  15 tn=0 wfr=0 sd=0
 X= 539 X2= 541  Y= 532 Y2= 533 P1= 880 P2= 318 T1=  33 T2=  32  P=  -1  D=  20 tn=0 wfr=0 sd=0
 X= 541 X2= 540  Y= 532 Y2= 533 P1= 880 P2= 315 T1=  33 T2=  33  P=  -1  D=  30 tn=0 wfr=0 sd=0
 X= 545 X2= 539  Y= 532 Y2= 532 P1= 880 P2= 319 T1=  32 T2=  32  P=  -1  D=  40 tn=0 wfr=0 sd=0
 X= 539 X2= 539  Y= 531 Y2= 531 P1= 877 P2= 324 T1=  32 T2=  29  P=  -1  D=  60 tn=0 wfr=0 sd=0
 X= 538 X2= 538  Y= 530 Y2= 530 P1= 876 P2= 326 T1=  29 T2=  29  P=  -1  D=  80 tn=0 wfr=0 sd=0
 X= 538 X2= 537  Y= 529 Y2= 529 P1= 875 P2= 328 T1=  30 T2=  29  P=  -1  D=   5 tn=0 wfr=0 sd=0
 X= 546 X2= 547  Y= 540 Y2= 540 P1= 890 P2= 298 T1=  41 T2=  34  P=  -1  D=  10 tn=0 wfr=0 sd=0
 X= 540 X2= 541  Y= 534 Y2= 533 P1= 884 P2= 308 T1=  33 T2=  32  P=  -1  D=  15 tn=0 wfr=0 sd=0
