new-calib: New touch screen calibration program v3.7
Serial Number='13101E00010B06010068'
Entering calib_delay
 X= 640 X2= 647  Y= 641 Y2= 640 P1= 994 P2=  63 T1= 187 T2= 168  P=9501  D=  80 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 534  Y= 535 Y2= 535 P1= 890 P2= 293 T1=  32 T2=  32  P=1089  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 291 T1=  32 T2=  32  P=1103  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 538  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  31  P=1097  D=  60 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 536 P1= 889 P2= 293 T1=  32 T2=  32  P=1090  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 536 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 293 T1=  32 T2=  31  P=1090  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 536 Y2= 535 P1= 889 P2= 292 T1=  31 T2=  32  P=1095  D=  15 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  31  P=1095  D=  20 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 293 T1=  31 T2=  32  P=1090  D=  40 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 293 T1=  32 T2=  32  P=1090  D=  60 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 536 Y2= 535 P1= 890 P2= 292 T1=  31 T2=  32  P=1097  D=  80 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 890 P2= 293 T1=  32 T2=  32  P=1091  D=   5 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 536 P1= 889 P2= 293 T1=  32 T2=  32  P=1090  D=  10 tn=0 wfr=0 sd=0
 X= 537 X2= 537  Y= 535 Y2= 535 P1= 890 P2= 293 T1=  32 T2=  30  P=1093  D=  15 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=  20 tn=0 wfr=0 sd=0
 X= 536 X2= 537  Y= 536 Y2= 535 P1= 889 P2= 293 T1=  31 T2=  32  P=1090  D=  30 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 889 P2= 292 T1=  32 T2=  32  P=1095  D=  40 tn=0 wfr=0 sd=0
 X= 537 X2= 536  Y= 535 Y2= 536 P1= 888 P2= 292 T1=  32 T2=  32  P=1093  D=  60 tn=0 wfr=0 sd=0
 X= 541 X2= 536  Y= 536 Y2= 535 P1= 889 P2= 291 T1=  32 T2=  33  P=1105  D=  80 tn=0 wfr=0 sd=0
 X= 535 X2= 537  Y= 535 Y2= 535 P1= 888 P2= 292 T1=  32 T2=  32  P=1093  D=   5 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 535 Y2= 535 P1= 888 P2= 293 T1=  32 T2=  32  P=1088  D=  10 tn=0 wfr=0 sd=0
 X= 536 X2= 536  Y= 536 Y2= 534 P1= 889 P2= 292 T1=  31 T2=  30  P=1095  D=  15 tn=0 wfr=0 sd=0
