new-calib: New touch screen calibration program v3.9
Serial Number='00001E00010B00000000'
Entering calib_delay
 X= 524 X2= 522  Y= 519 Y2= 519 P1= 807 P2= 409 T1=  16 T2=  17  P= 508  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 521 Y2= 518 P1= 808 P2= 409 T1=  16 T2=  17  P= 509  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 409 T1=  17 T2=  17  P= 508  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  18  P= 509  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 518 Y2= 518 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  16 T2=  17  P= 509  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 522 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  16  P= 509  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 517 P1= 808 P2= 410 T1=  17 T2=  18  P= 507  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  16  P= 507  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  16 T2=  16  P= 509  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  16 T2=  17  P= 509  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 506  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 516 P1= 807 P2= 409 T1=  14 T2=  16  P= 508  D=  20 tn=0 wfr=0 sd=0
 X= 522 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 526  Y= 519 Y2= 518 P1= 808 P2= 410 T1=  16 T2=  16  P= 508  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 409 T1=  17 T2=  16  P= 508  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 518 P1= 807 P2= 410 T1=  16 T2=  16  P= 506  D=  10 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 518 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  20 tn=0 wfr=0 sd=0
 X= 528 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 509  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 508  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 525  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  20 T2=  16  P= 507  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 522  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  16 T2=  17  P= 505  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 808 P2= 409 T1=  17 T2=  17  P= 509  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 410 T1=  14 T2=  16  P= 507  D=  10 tn=0 wfr=0 sd=0
 X= 516 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 409 T1=  16 T2=  17  P= 505  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  16 T2=  16  P= 506  D=  20 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 519 Y2= 520 P1= 807 P2= 410 T1=  17 T2=  17  P= 507  D=  30 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  40 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 518 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  60 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 507  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 809 P2= 410 T1=  16 T2=  17  P= 508  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 411 T1=  17 T2=  16  P= 503  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 525  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  16  P= 508  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 409 T1=  15 T2=  17  P= 508  D=  30 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  16  P= 506  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 522 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  80 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  16 T2=  16  P= 506  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 520 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 507  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 520  Y= 519 Y2= 519 P1= 807 P2= 411 T1=  17 T2=  17  P= 501  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 520 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 527  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 509  D=  40 tn=0 wfr=0 sd=0
 X= 525 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 507  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 410 T1=  16 T2=  17  P= 506  D=  80 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 505  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 525  Y= 519 Y2= 519 P1= 808 P2= 410 T1=  17 T2=  17  P= 508  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  19 T2=  17  P= 506  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  80 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  10 tn=0 wfr=0 sd=0
 X= 522 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 505  D=  15 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 806 P2= 410 T1=  17 T2=  17  P= 504  D=  20 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  80 tn=0 wfr=0 sd=0
 X= 525 X2= 522  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=   5 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 411 T1=  17 T2=  17  P= 503  D=  10 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  16  P= 506  D=  15 tn=0 wfr=0 sd=0
 X= 524 X2= 524  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 507  D=  20 tn=0 wfr=0 sd=0
 X= 524 X2= 523  Y= 519 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  30 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  40 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 519 Y2= 519 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  60 tn=0 wfr=0 sd=0
 X= 523 X2= 523  Y= 520 Y2= 518 P1= 807 P2= 410 T1=  17 T2=  17  P= 506  D=  80 tn=0 wfr=0 sd=0
